ts_iso,session_id,request_id,task_code,step,outcome,ms,http_status,js_mode
2025-11-28T19:43:53.410185800Z,P4_c5b6,r_fcd03775,T0_list,success,,90,200,off
2025-11-28T19:44:06.175600400Z,P4_c5b6,r_5b9e69be,T1_add,success,,78,200,off
2025-11-28T19:44:06.302724400Z,P4_c5b6,r_4f202801,T0_list,success,,107,200,off
2025-11-28T19:44:24.785986500Z,P4_c5b6,r_98faa8e5,T0_list,success,,53,200,off
2025-11-28T19:44:50.972606500Z,P4_c5b6,r_2e5cb20d,T0_list,success,,60,200,off
2025-11-28T19:44:55.816605100Z,P4_c5b6,r_1fe58782,T0_list,success,,48,200,off
2025-11-28T19:44:59.142807400Z,P4_c5b6,r_9cd1962b,T0_list,success,,49,200,off
2025-11-28T19:45:04.288412400Z,P4_c5b6,r_bbb2524d,T0_list,success,,54,200,off
2025-11-28T19:45:14.083758100Z,P4_c5b6,r_1ffab00d,T0_list,success,,44,200,off
2025-11-28T19:45:51.124515100Z,P4_c5b6,r_2e6e1a94,T1_add,success,,10,200,off
2025-11-28T19:45:51.191322700Z,P4_c5b6,r_03bfef89,T0_list,success,,48,200,off
2025-11-28T19:46:06.231539400Z,P4_c5b6,r_84e124c0,T1_add,success,,9,200,off
2025-11-28T19:46:06.324561100Z,P4_c5b6,r_b8c12220,T0_list,success,,71,200,off
2025-11-28T19:46:16.185044500Z,P4_c5b6,r_0c43f164,T1_add,success,,13,200,off
2025-11-28T19:46:16.334994Z,P4_c5b6,r_796bf57c,T0_list,success,,128,200,off
2025-11-28T19:46:46.512248800Z,P4_c5b6,r_c3e12ea9,T1_add,success,,12,200,off
2025-11-28T19:46:46.631380400Z,P4_c5b6,r_98bfc232,T0_list,success,,97,200,off
2025-11-28T19:46:56.889873800Z,P4_c5b6,r_90d21369,T0_list,success,,57,200,off
2025-11-28T19:47:19.083887600Z,P4_c5b6,r_0cb6a973,T0_list,success,,69,200,off
2025-11-28T19:47:19.317227500Z,P4_c5b6,r_a108022f,T0_list,success,,56,200,off
2025-11-28T19:47:27.146788900Z,P4_c5b6,r_0c388288,T0_list,success,,67,200,off
2025-11-28T19:47:42.777088Z,P4_c5b6,r_db2d93a3,T2_delete,success,,25,200,off
2025-11-28T19:47:42.868052500Z,P4_c5b6,r_0340011d,T0_list,success,,71,200,off
