ts_iso,session_id,request_id,task_code,step,outcome,ms,http_status,js_mode
2025-11-28T12:55:40.874420600Z,P2_6v3d,r_e4d441cd,T0_list,success,,104,200,off
2025-11-28T12:55:51.360175200Z,P2_6v3d,r_7c99019f,T1_add,success,,106,200,on
2025-11-28T12:56:15.515628500Z,P2_6v3d,r_3b761a74,T0_list,success,,87,200,off
2025-11-28T12:57:17.894465500Z,P2_6v3d,r_64b6b29f,T3_edit,success,,18,200,on
2025-11-28T12:57:53.971285700Z,P2_6v3d,r_7aa0d7ba,T1_add,success,,25,200,on
2025-11-28T12:58:00.975972600Z,P2_6v3d,r_7f2645cf,T1_add,success,,32,200,on
2025-11-28T12:58:24.347340Z,P2_6v3d,r_eb740ffd,T4_filter,success,,46,200,on
2025-11-28T12:58:24.997828600Z,P2_6v3d,r_b407988d,T4_filter,success,,24,200,on
2025-11-28T12:58:25.248576100Z,P2_6v3d,r_353245e6,T4_filter,success,,16,200,on
2025-11-28T12:58:56.958467500Z,P2_6v3d,r_7d5bd786,T4_filter,success,,11,200,off
2025-11-28T12:59:02.729096300Z,P2_6v3d,r_946cb3be,T2_delete,success,,6,200,on
2025-11-28T12:59:05.225780Z,P2_6v3d,r_ccc7b904,T2_delete,success,,6,200,on
2025-11-28T12:59:07.449857Z,P2_6v3d,r_f01803fd,T2_delete,success,,7,200,on
